BusinessDate;PurchaseDate;RepurchaseDate;CashAmount;Term;Rate;CashTakerID
2.07.19;4.07.19;4.01.20;79000000;6M;2.835;4
2.07.19;4.07.19;4.01.20;60000000;6M;3.018251945;5
5.07.19;9.07.19;9.01.20;60000000;6M;2.9;7
8.07.19;10.07.19;10.01.20;166000000;6M;2.87;6
28.08.19;30.08.19;29.02.20;80000000;6M;2.81;1
11.09.19;13.09.19;13.03.20;100000000;6M;2.83;10
17.09.19;19.09.19;19.03.20;70000000;6M;2.75;7
25.09.19;27.09.19;27.03.20;110000000;6M;2.7;4
25.09.19;27.09.19;27.03.20;160000000;6M;2.66;4
1.10.19;3.10.19;3.01.20;90000000;3M;2.58;7
1.10.19;3.10.19;3.01.20;80000000;3M;2.56;6
2.10.19;4.10.19;4.01.20;120000000;3M;2.54;6
2.10.19;4.10.19;4.01.20;50000000;3M;2.545;10
2.10.19;4.10.19;4.01.20;150000000;3M;2.55;9
2.10.19;4.10.19;4.01.20;210000000;3M;2.55;7
2.10.19;4.10.19;4.01.20;80000000;3M;2.565;7
3.10.19;7.10.19;8.01.20;220000000;3M;2.699684279;5
3.10.19;7.10.19;8.01.20;60000000;3M;2.615;9
3.10.19;7.10.19;8.01.20;50000000;3M;2.595;7
7.10.19;9.10.19;9.01.20;50000000;3M;2.607;4
8.10.19;10.10.19;10.01.20;90000000;3M;2.545;1
8.10.19;10.10.19;10.01.20;110000000;3M;2.56;9
9.10.19;11.10.19;11.01.20;150000000;3M;2.821621283;8
10.10.19;14.10.19;15.01.20;130000000;3M;2.62;7
15.10.19;17.10.19;17.04.20;110000000;6M;2.74;2
16.10.19;18.10.19;18.01.20;50000000;3M;2.63;10
16.10.19;18.10.19;18.01.20;70000000;3M;2.6;1
16.10.19;18.10.19;18.01.20;130000000;3M;2.66;2
16.10.19;18.10.19;18.01.20;101000000;3M;2.635;10
16.10.19;18.10.19;18.01.20;120000000;3M;2.66;3
16.10.19;18.10.19;18.01.20;220000000;3M;2.63;4
16.10.19;18.10.19;18.04.20;120000000;6M;2.77;6
16.10.19;18.10.19;18.04.20;100000000;6M;2.74;3
17.10.19;21.10.19;22.01.20;60000000;3M;2.61;6
17.10.19;21.10.19;22.01.20;140000000;3M;2.65;2
17.10.19;21.10.19;22.01.20;150000000;3M;2.774245247;5
17.10.19;21.10.19;22.04.20;100000000;6M;2.902001652;8
18.10.19;22.10.19;22.01.20;110000000;3M;2.814380734;5
18.10.19;22.10.19;22.04.20;130000000;6M;2.74;9
18.10.19;22.10.19;22.04.20;150000000;6M;2.957749724;8
18.10.19;22.10.19;22.04.20;240000000;6M;2.73;7
21.10.19;23.10.19;23.01.20;104000000;3M;2.615;10
21.10.19;23.10.19;23.01.20;50000000;3M;2.635;1
23.10.19;25.10.19;25.01.20;50000000;3M;2.6;6
23.10.19;25.10.19;25.04.20;130000000;6M;2.69;4
24.10.19;28.10.19;29.01.20;130000000;3M;2.605;4
25.10.19;29.10.19;29.01.20;70000000;3M;2.58;1
25.10.19;29.10.19;29.01.20;110000000;3M;2.52;4
28.10.19;30.10.19;30.04.20;90000000;6M;2.6;2
28.10.19;30.10.19;30.04.20;100000000;6M;2.64;9
28.10.19;30.10.19;30.04.20;140000000;6M;2.58;4
28.10.19;30.10.19;30.04.20;110000000;6M;2.64;9
29.10.19;31.10.19;31.01.20;90000000;3M;2.48;2
30.10.19;1.11.19;1.02.20;70000000;3M;2.54;7
30.10.19;1.11.19;2.05.20;140000000;6M;3.047046704;8
30.10.19;1.11.19;2.05.20;110000000;6M;2.686444051;8
5.11.19;7.11.19;7.02.20;60000000;3M;2.786257074;5
6.11.19;8.11.19;8.05.20;130000000;6M;2.632720095;5
11.11.19;13.11.19;13.05.20;340000000;6M;2.53;4
12.11.19;14.11.19;14.02.20;60000000;3M;2.36;10
12.11.19;14.11.19;14.02.20;130000000;3M;2.44;1
12.11.19;14.11.19;14.02.20;90000000;3M;2.39;9
12.11.19;14.11.19;14.02.20;100000000;3M;2.38;9
18.11.19;20.11.19;20.02.20;120000000;3M;2.403;3
19.11.19;21.11.19;21.02.20;111000000;3M;2.425;6
20.11.19;22.11.19;22.02.20;320000000;3M;2.4;3
22.11.19;26.11.19;26.02.20;180000000;3M;2.48;9
25.11.19;27.11.19;27.02.20;90000000;3M;2.4;9
25.11.19;27.11.19;27.05.20;80000000;6M;2.5;7
25.11.19;27.11.19;27.05.20;350000000;6M;2.54;1
26.11.19;28.11.19;28.02.20;75000000;3M;2.51;9
27.11.19;29.11.19;29.05.20;120000000;6M;2.679994056;5
27.11.19;29.11.19;29.05.20;100000000;6M;2.535;9
28.11.19;2.12.19;2.03.20;250000000;3M;2.405;9
28.11.19;2.12.19;2.03.20;100000000;3M;2.659614092;5
28.11.19;2.12.19;2.03.20;100000000;3M;2.41;7
28.11.19;2.12.19;1.06.20;80000000;6M;2.528;4
29.11.19;3.12.19;3.01.20;100000000;1M;1.972074716;6
29.11.19;3.12.19;3.01.20;290000000;1M;1.970145557;5
29.11.19;3.12.19;3.01.20;550000000;1M;2.338994137;8
29.11.19;3.12.19;3.01.20;520000000;1M;2.004406897;8
29.11.19;3.12.19;3.03.20;110000000;3M;2.133283384;3
29.11.19;3.12.19;3.03.20;140000000;3M;1.61971634;10
29.11.19;3.12.19;3.06.20;50000000;6M;2.206885791;7
29.11.19;3.12.19;3.06.20;60000000;6M;2.200113345;9
2.12.19;4.12.19;4.01.20;210000000;1M;2.28;1
2.12.19;4.12.19;4.01.20;130000000;1M;2.26;6
2.12.19;4.12.19;4.01.20;540000000;1M;2.255;10
2.12.19;4.12.19;4.01.20;120000000;1M;2.28;4
2.12.19;4.12.19;4.01.20;330000000;1M;2.325;9
3.12.19;5.12.19;7.01.20;100000000;1M;2.23;10
3.12.19;5.12.19;7.01.20;250000000;1M;2.25;9
3.12.19;5.12.19;7.01.20;125000000;1M;2.31;4
3.12.19;5.12.19;5.03.20;130000000;3M;2.425;9
3.12.19;5.12.19;5.03.20;210000000;3M;2.418;10
3.12.19;5.12.19;5.06.20;120000000;6M;2.56;2
4.12.19;6.12.19;7.01.20;310000000;1M;2.567013985;8
4.12.19;6.12.19;7.01.20;90000000;1M;2.503903341;5
4.12.19;6.12.19;7.01.20;90000000;1M;2.456857992;8
5.12.19;9.12.19;8.01.20;132000000;1M;2.556866239;5
5.12.19;9.12.19;8.01.20;120000000;1M;2.25;7
5.12.19;9.12.19;8.01.20;127000000;1M;2.27;6
5.12.19;9.12.19;8.01.20;330000000;1M;2.28;4
5.12.19;9.12.19;9.03.20;100000000;3M;2.408;10
5.12.19;9.12.19;9.03.20;120000000;3M;2.45;4
5.12.19;9.12.19;9.03.20;220000000;3M;2.4;10
6.12.19;10.12.19;10.01.20;130000000;1M;2.363939567;5
6.12.19;10.12.19;10.01.20;140000000;1M;2.33;2
6.12.19;10.12.19;10.01.20;120000000;1M;2.31;4
6.12.19;10.12.19;10.01.20;85000000;1M;2.265;2
6.12.19;10.12.19;10.01.20;140000000;1M;2.295;1
6.12.19;10.12.19;10.01.20;150000000;1M;2.667892062;8
6.12.19;10.12.19;10.01.20;150000000;1M;2.29;1
6.12.19;10.12.19;10.03.20;90000000;3M;2.45;6
6.12.19;10.12.19;10.03.20;90000000;3M;2.474;2
6.12.19;10.12.19;10.03.20;190000000;3M;2.55;10
9.12.19;11.12.19;11.01.20;320000000;1M;2.32;7
9.12.19;11.12.19;11.01.20;115000000;1M;2.376188961;5
